x	y	num
8.6019	-7.9555	0
7.7691	-7.0555	0
7.6703	-8.0387	0
6.5155	-6.257	0
11.1199	-8.084	0
5.1984	-6.524	0
6.8975	-3.2866	0
6.4904	-5.8592	0
7.8911	-6.0933	0
6.5388	-5.6864	0
6.4464	-8.5055	0
7.7821	-7.2702	0
12.4128	-14.461	0
5.1125	-7.5271	0
11.3638	-12.8014	0
12.9062	-13.6842	0
6.2828	-6.5944	0
8.407	-10.4996	0
12.8839	-15.2387	0
11.5307	-8.451	0
11.8993	-10.598	0
9.9174	-8.5441	0
6.4826	-7.9678	0
9.734	-10.6948	0
9.5365	-10.1542	0
4.7077	-4.8381	0
12.9266	-13.5307	0
6.7474	-9.4552	0
9.3471	-8.9568	0
7.5687	-7.0658	0
6.9235	-6.7304	0
6.1623	-4.8473	0
7.2886	-8.8468	0
6.4864	-6.9108	0
4.843	-4.2236	0
5.1402	-6.4241	0
6.8156	-6.0498	0
6.6097	-7.2242	0
9.5957	-9.2938	0
7.1479	-6.096	0
7.9293	-6.4444	0
8.035	-7.7297	0
7.0104	-7.9434	0
11.035	-13.3245	0
8.4172	-8.8758	0
5.0229	-5.1071	0
6.2116	-6.4045	0
8.5125	-7.2547	0
5.5747	-6.6475	0
7.6403	-8.4156	0
8.6823	-7.8053	0
4.9943	-7.2777	0
4.8496	-7.1595	0
6.2526	-6.3745	0
10.2397	-9.5086	0
4.8339	-5.7791	0
8.1721	-7.2416	0
6.9096	-7.3499	0
9.8959	-10.9262	0
10.3482	-9.2553	0
7.3231	-9.3191	0
5.4743	-6.9709	0
13.1121	-11.5707	0
7.1705	-6.085	0
11.0519	-11.4187	0
6.1518	-5.1165	0
7.0476	-9.1091	0
10.5926	-13.0859	0
6.7968	-7.2793	0
8.4984	-6.4545	0
5.4694	-5.3906	0
8.9093	-12.6448	0
9.922	-7.5033	0
9.1405	-9.4864	0
10.671	-11.7617	0
5.3997	-4.7624	0
4.7706	-4.9759	0
7.5091	-5.2477	0
5.2882	-6.351	0
9.8684	-9.7163	0
8.3708	-7.3648	0
11.5662	-11.0393	0
6.3234	-8.9233	0
10.2312	-12.5816	0
8.0122	-13.6236	0
7.2282	-8.2936	0
6.3519	-7.2892	0
8.157	-8.7315	0
13.4112	-12.6266	0
12.1093	-12.5182	0
11.5045	-10.6052	0
8.208	-11.3808	0
6.1691	-6.0838	0
12.1986	-12.5024	0
10.3024	-11.6248	0
8.4011	-6.5937	0
7.1336	-9.6113	0
8.5943	-7.1992	0
12.1091	-11.3239	0
5.8454	-6.8095	0
5.0327	-3.5713	0
8.7052	-8.5053	0
11.3547	-10.4141	0
