,gamma
1253,18.632749583839416
4015,18.63148404446337
5927,18.601596054171328
4985,18.592958034151117
3664,18.540317172488344
1135,18.527166620417027
1687,18.524231991883454
3495,18.515642642317058
4276,18.49849051574905
2874,18.474535315079148
4191,18.45689377460931
4352,18.42339877749486
4980,18.420285936676287
4943,18.404384722728523
4090,18.398188253087365
4611,18.395401396215224
1924,18.382676380857973
1029,18.378838294431066
1545,18.372036789279097
1786,18.363502078217255
3681,18.345961056377522
1116,18.343993557886662
3559,18.34294877504426
916,18.339495463975855
1234,18.267192833638493
1873,18.266611898629318
5557,18.261184248302115
5930,18.26113125512861
2187,18.25637820225789
5055,18.246142745272927
4121,18.225741965811267
2988,18.22126672265774
5493,18.21440735263617
5632,18.213014820115703
2135,18.210621273599152
4813,18.196435918675718
3451,18.195929545805637
1516,18.18870433076968
5163,18.176779276205476
5175,18.148714229893063
3042,18.137525733912508
3678,18.110242325749574
5547,18.109196529892046
3889,18.106424407199146
2301,18.102767420176963
4088,18.063855037818772
2659,18.027573506475985
1834,18.017126201776563
4436,17.977062053854034
4303,17.962025193736057
5120,17.955957830465014
2436,17.94944555844691
2641,17.949184941083306
2211,17.93828934616475
4940,17.903793003855423
5101,17.901585015316435
4061,17.89739152000093
5153,17.87340721806653
1254,17.868708727403813
5595,17.84113979214933
3625,17.838176044820905
3468,17.824395257886678
5790,17.822715138158284
3280,17.80632146710623
4666,17.7952387795039
726,17.792156982118563
4060,17.78227800458152
5502,17.77974648612969
4126,17.761443149458046
5819,17.76133380599655
4932,17.75523133521514
4645,17.75412959028888
1800,17.75306874573787
5575,17.750837549981384
4885,17.737946778267847
5860,17.73780929063302
5289,17.73498255847639
4934,17.726304496830505
2646,17.72132670983986
3585,17.72098437342586
2210,17.70527416051861
5785,17.693355896772424
5748,17.692331993927514
1964,17.679947294240332
1125,17.671175481510865
1238,17.655623732126205
3605,17.644335054387685
3305,17.62025227329948
4038,17.59865474414375
1062,17.58093366059881
5006,17.568216450027496
4427,17.566276544302024
325,17.54825515780569
4848,17.547354873008008
1679,17.54480930445814
1531,17.540241207617935
2872,17.523385909504903
5508,17.511643728405303
1346,17.511291290052487
